userId,movieId,rating,timestamp
1,1,4.0,964982703
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,110,4.0,964982176
1,260,5.0,964981680
1,296,3.0,964982967
1,356,4.0,964980962
1,367,4.0,964981710
1,457,5.0,964981909
1,527,5.0,964984002
1,648,3.0,964982563
1,733,4.0,964982400
1,780,3.0,964984086
1,919,5.0,964982475
1,1089,5.0,964982951
1,1090,4.0,964984018
1,1097,5.0,964981680
1,1136,5.0,964981327
1,1196,5.0,964981827
1,1198,5.0,964981827
1,1208,4.0,964983250
1,1213,5.0,964982951
1,1214,4.0,964981855
1,1219,2.0,964983393
1,1240,5.0,964983723
1,1258,3.0,964983414
1,1265,4.0,964983599
1,1270,5.0,964983705
1,1291,5.0,964981909
1,1377,3.0,964982653
1,1580,3.0,964981125
1,1625,5.0,964983504
1,1676,3.0,964982620
1,1732,5.0,964981125
1,1954,5.0,964982176
1,2028,4.0,964981888
1,2115,5.0,964982529
1,2161,5.0,964981710
1,2174,4.0,964981680
1,2329,5.0,964983263
1,2571,5.0,964981888
1,2628,4.0,964980523
1,2640,4.0,964982377
1,2761,5.0,964982703
1,2858,5.0,964980868
1,2947,5.0,964982176
1,2949,5.0,964981888
1,2959,5.0,964983282
1,3147,5.0,964983873
1,3527,4.0,964982271
1,3578,5.0,964980668
2,318,3.0,1445714835
2,3578,4.0,1445714885
2,6874,4.0,1445714952
2,48516,4.0,1445715064
2,58559,4.5,1445715141
2,68157,4.5,1445715154
2,71535,3.0,1445714974
2,74458,4.0,1445714926
2,79132,4.0,1445714841
2,89774,5.0,1445715189
2,91529,3.5,1445714891
2,99114,3.5,1445714874
2,106782,5.0,1445714966
2,109487,3.0,1445715145
2,112552,4.0,1445714882
2,115713,3.5,1445714854
2,122882,5.0,1445715272
3,527,0.5,1306464275
3,2288,4.0,1306463631
4,47,2.0,945173425
4,260,5.0,945079259
4,296,1.0,945173350
4,457,5.0,945079259
4,588,4.0,945079670
4,648,3.0,945079906
4,919,5.0,945079521
4,920,5.0,945173602
4,1136,5.0,986934625
4,1196,5.0,964538763
4,1198,3.0,964538728
4,1203,5.0,945174025
4,1213,4.0,945079729
4,1219,4.0,964539961
4,1259,4.0,964538728
